Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592726094279 0.2817414258504351 -0.17404889410117114 -1.8117434069553993 
1592726094289 0.2797674621115867 -0.17632507062728797 -1.813180906803833 
1592726094299 0.27759544107860695 -0.17887515682970626 -1.8144876715514322 
1592726094309 0.2754870405573232 -0.18141394160645855 -1.8154417163243295 
1592726094319 0.2737752386375886 -0.18372607610447103 -1.8159826293022427 
1592726094329 0.27268975325082234 -0.185850312537122 -1.8162169942896487 
1592726094339 0.2721672110072746 -0.1879293430078907 -1.8164799396397218 
1592726094349 0.2720139302351992 -0.1901334185627898 -1.8170006959107725 
1592726094359 0.2721566117354792 -0.19245699297299781 -1.817737205123713 
1592726094369 0.2725670484064344 -0.19474863922355384 -1.818514777691283 
1592726094379 0.27307419183238707 -0.19682018700566503 -1.8192470084143177 
1592726094389 0.27340932288658415 -0.1985875785776894 -1.819870347451381 
1592726094399 0.2734937925434773 -0.20006921038686987 -1.820357424355603 
1592726094409 0.2735481360042248 -0.20146023040359937 -1.8207180527065905 
1592726094419 0.27378647037942616 -0.20295059004444463 -1.8210363172365738 
1592726094429 0.2742306771332352 -0.2044558358540099 -1.8214113370915965 
1592726094438 0.2747785367285108 -0.20571143175658646 -1.8219019467078017 
1592726094449 0.27535954295949555 -0.20642962389163785 -1.8224722171198469 
1592726094459 0.27588509029244196 -0.2065768543696414 -1.8230348456137433 
1592726094469 0.27633653988520024 -0.20636635465532283 -1.823559555036604 
1592726094479 0.276633776107664 -0.20608195505954358 -1.824095411923675 
1592726094489 0.27659270588306933 -0.20607578437543453 -1.8245840019746293 
1592726094499 0.27624063476395666 -0.20649947942040173 -1.824993557035634 
1592726094509 0.2757307284462153 -0.20737779153183333 -1.8253774297040262 
1592726094519 0.27528709437871735 -0.20853337331916802 -1.8256545799240784 
1592726094529 0.2749397467704489 -0.20971111085874083 -1.8257116809047345 
1592726094539 0.2746343549986542 -0.21056732424234276 -1.825558210293177 
1592726094549 0.2743078265961628 -0.2108246656899966 -1.825296223719118 
1592726094559 0.2739355310096639 -0.2104663640261009 -1.8250115748506388 
